1527741475.362130, optimize | 6. Reading performance files
1527741475.375848, optimize | 7. Run Optimizing Algorithm
1527741475.375878, optimize | 7.1.2 End Optimizing Routine
1527741475.272346, user | execute HybChive Function
1527741475.272449, scheduler | start scheduler
1527741475.283099, scheduler | 4.4 All performance files found. Execute performance optimizing procedure
1527741475.283124, scheduler | 4.5 Start copying HybChive - set specific parameters to shared memory segment
1527741475.286096, scheduler | 4.5.1 End copying HybChive - set specific parameters to shared memory segment
1527741475.379930, scheduler | 7.4 Get the splitting information
1527741475.379970, scheduler | 7.5 Splitting Data arrived in scheduler
1527741475.381136, scheduler | 16.01 All variants started
1527741476.384435, scheduler | 16.01 All variants ended
1527741476.384552, scheduler | 17. copy shared memory segment back to input variable
1527741476.389766, user | end HybChive Function - order timemarks yourself

1527741512.546154, optimize | 6. Reading performance files
1527741512.571551, optimize | 7. Run Optimizing Algorithm
1527741512.574319, optimize | 7.1.2 End Optimizing Routine
1527741512.432823, user | execute HybChive Function
1527741512.432912, scheduler | start scheduler
1527741512.447596, scheduler | 4.4 All performance files found. Execute performance optimizing procedure
1527741512.447656, scheduler | 4.5 Start copying HybChive - set specific parameters to shared memory segment
1527741512.450812, scheduler | 4.5.1 End copying HybChive - set specific parameters to shared memory segment
1527741512.581912, scheduler | 7.4 Get the splitting information
1527741512.581978, scheduler | 7.5 Splitting Data arrived in scheduler
1527741512.585227, scheduler | 16.01 All variants started
1527741513.590578, scheduler | 16.01 All variants ended
1527741513.590670, scheduler | 17. copy shared memory segment back to input variable
1527741513.596433, user | end HybChive Function - order timemarks yourself

1527741525.983005, optimize | 6. Reading performance files
1527741525.996296, optimize | 7. Run Optimizing Algorithm
1527741525.996326, optimize | 7.1.2 End Optimizing Routine
1527741525.895760, user | execute HybChive Function
1527741525.895842, scheduler | start scheduler
1527741525.905767, scheduler | 4.4 All performance files found. Execute performance optimizing procedure
1527741525.905791, scheduler | 4.5 Start copying HybChive - set specific parameters to shared memory segment
1527741525.908428, scheduler | 4.5.1 End copying HybChive - set specific parameters to shared memory segment
1527741526.000836, scheduler | 7.4 Get the splitting information
1527741526.000876, scheduler | 7.5 Splitting Data arrived in scheduler
1527741526.001952, scheduler | 16.01 All variants started
1527741527.004093, scheduler | 16.01 All variants ended
1527741527.004238, scheduler | 17. copy shared memory segment back to input variable
1527741527.010017, user | end HybChive Function - order timemarks yourself

1527741538.006741, optimize | 6. Reading performance files
1527741538.020908, optimize | 7. Run Optimizing Algorithm
1527741538.020937, optimize | 7.1.2 End Optimizing Routine
1527741537.912469, user | execute HybChive Function
1527741537.912560, scheduler | start scheduler
1527741537.925594, scheduler | 4.4 All performance files found. Execute performance optimizing procedure
1527741537.925623, scheduler | 4.5 Start copying HybChive - set specific parameters to shared memory segment
1527741537.929695, scheduler | 4.5.1 End copying HybChive - set specific parameters to shared memory segment
1527741538.025544, scheduler | 7.4 Get the splitting information
1527741538.025604, scheduler | 7.5 Splitting Data arrived in scheduler
1527741538.027560, scheduler | 16.01 All variants started
1527741539.032958, scheduler | 16.01 All variants ended
1527741539.033050, scheduler | 17. copy shared memory segment back to input variable
1527741539.039248, user | end HybChive Function - order timemarks yourself
